School,Mean Administrator Salary,Median Administrator Salary
Rutgers,351741,313045
Illinois,373214,324917
Penn State,489596,395304
Ohio State,533539,549274
Minnesota,340007,287000
Michigan State,288021,250544
Indiana,363082,318651
Purdue,286704,271420
Wisconsin,243725,207928
Nebraska,282169,252287
